,City,Country,Latitude,Longitude,Temperature,Humidity %,Cloudiness,Wind Speed
0,Ponta do Sol,PT,32.6667,-17.1,20.29,94,97,5.98
1,Richards Bay,ZA,-28.783,32.0377,26.26,61,73,4.83
2,Cape Town,ZA,-33.9258,18.4232,32.01,39,0,8.23
3,Kendari,ID,-3.945,122.4989,26.34,87,92,0.47
4,Inzer,RU,54.2167,57.5556,-2.36,93,100,4.74
5,Mataura,NZ,-46.1927,168.8643,13.04,54,9,4.42
6,Husavik,IS,66.0449,-17.3389,3.95,88,77,2.51
7,New Norfolk,AU,-42.7826,147.0587,14.5,48,1,2.24
8,Andenes,NO,69.3143,16.1194,-3.01,80,20,3.09
9,Saint Paul Harbor,US,57.79,-152.4072,0.98,80,41,3.74
10,Rikitea,PF,-23.1203,-134.9692,22.91,86,100,6.21
11,Sept-Îles,CA,50.2001,-66.3821,-14.99,73,1,0.45
12,Dunedin,NZ,-45.8742,170.5036,15.45,69,5,0.89
13,Nikolskoye,RU,59.7035,30.7861,-9.74,81,99,3.93
14,Bredasdorp,ZA,-34.5322,20.0403,23.62,64,50,10.8
15,Manaure,CO,11.7751,-72.4445,24.27,83,46,4.45
16,Tiksi,RU,71.6872,128.8694,-26.57,99,100,2.34
17,Khatanga,RU,71.9667,102.5,-24.25,98,100,5.42
18,Karasburg,NA,-28.0167,18.75,33.97,8,27,6.91
19,Cidreira,BR,-30.1811,-50.2056,22.79,70,20,4.2
20,Bluff,NZ,-46.6,168.3333,13.22,63,6,10.01
21,Freeport,US,40.6576,-73.5832,-3.57,58,1,0.0
22,Calabozo,VE,8.9242,-67.4293,22.62,78,73,2.32
23,Meulaboh,ID,4.1363,96.1285,24.57,90,95,2.06
24,Souillac,MU,-20.5167,57.5167,29.21,70,75,8.23
25,Hong Kong,HK,22.2855,114.1577,15.47,91,100,0.89
26,Goderich,CA,43.7501,-81.7165,-0.04,74,98,8.75
27,Punta Arenas,CL,-53.15,-70.9167,9.01,66,0,21.09
28,Northam,GB,51.0333,-4.2167,5.01,90,93,7.0
29,Talnakh,RU,69.4865,88.3972,-36.0,95,44,0.73
30,Dongsheng,CN,39.8161,109.9776,-2.99,39,0,4.12
31,Ushuaia,AR,-54.8,-68.3,6.81,76,75,1.54
